timestamp -> D4,D7Π,D17,D12Π,D13,D11Π,D20,D22Π,D23,D19Π,D21,D18Π,D14,D15Π,D10,D16Π,Class
19:11:15.971 -> 1771,2000,3248,4095,4095,4095,4095,4095,1047,4095,2709,3153,4095,4095,248,4023,0
19:11:15.971 -> 345,88,0,2758,419,402,17,1920,0,4095,0,0,510,4095,0,3621,0
19:11:15.971 -> 340,1702,2602,4095,3071,3461,506,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.971 -> 2724,2683,4095,4095,4095,4095,4095,4095,2606,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.019 -> 2707,3263,4095,4095,4095,4095,4095,4095,2499,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.019 -> 2631,3231,4095,4095,4095,4095,4095,4095,2434,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.019 -> 2699,2608,4095,4095,4095,4095,4095,4095,1910,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.019 -> 2306,2192,4095,4095,4095,4095,4095,4095,1483,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.019 -> 1963,2107,3471,4095,4095,4095,4095,4095,1122,4095,3469,4095,4095,4095,2688,4095,0
19:11:16.019 -> 1773,2053,3040,4095,4095,4095,4095,4095,922,4095,2992,3756,4095,4095,2319,4095,0
19:11:16.019 -> 1621,1887,2640,4095,4095,4095,4007,4095,1240,4095,0,9,288,4095,379,3695,0
19:11:16.066 -> 286,235,1510,2451,888,306,1124,2258,1134,4095,1,0,379,4095,196,4095,0
19:11:16.066 -> 372,2138,1781,4095,4095,4095,4095,4095,3328,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.066 -> 2711,3325,4095,4095,4095,4095,4095,4095,2569,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.066 -> 2645,3248,4095,4095,4095,4095,4095,4095,2575,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.066 -> 2698,3241,4095,4095,4095,4095,4095,4095,2490,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.066 -> 2691,2464,4095,4095,4095,4095,4095,4095,1666,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.066 -> 2215,2160,4095,4095,4095,4095,4095,4095,1401,4095,4095,4095,4095,4095,2803,4095,0
19:11:16.113 -> 1835,2075,3464,4095,4095,4095,4095,4095,1073,4095,3305,4095,4095,4095,2511,4095,0
19:11:16.113 -> 1776,2014,3014,4095,4095,4095,4095,4095,972,4095,2843,3518,4095,4095,0,3527,0
19:11:16.113 -> 402,126,349,2694,291,1152,374,1920,1254,4095,1006,888,227,4095,340,3331,0
19:11:16.113 -> 295,2035,832,4095,2448,1737,251,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.113 -> 2725,2879,4095,4095,4095,4095,4095,4095,2586,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.113 -> 2673,3243,4095,4095,4095,4095,4095,4095,2527,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.113 -> 2699,3237,4095,4095,4095,4095,4095,4095,2517,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.161 -> 2480,2586,4095,4095,4095,4095,4095,4095,2089,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.161 -> 2278,2176,4013,4095,4095,4095,4095,4095,1547,4095,4095,4095,4095,4095,2747,4095,0
19:11:16.161 -> 1875,2072,3569,4095,4095,4095,4095,4095,1137,4095,3455,4095,4095,4095,2673,4095,0
19:11:16.161 -> 1793,2033,3056,4095,4095,4095,4095,4095,980,4095,2889,3664,4095,4095,2351,4095,0
19:11:16.161 -> 1544,1959,2416,4095,4095,4095,4095,4095,1312,4095,312,495,466,4095,0,3999,0
19:11:16.161 -> 213,185,489,2742,1686,227,742,1944,0,4095,375,1129,700,4095,16,3746,0
19:11:16.161 -> 400,2146,1972,4095,4095,4095,4095,4095,3247,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.208 -> 2613,3343,4095,4095,4095,4095,4095,4095,2599,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.208 -> 2711,3219,4095,4095,4095,4095,4095,4095,2478,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.350 -> 2669,3248,4095,4095,4095,4095,4095,4095,2557,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.350 -> 2671,3267,4095,4095,4095,4095,4095,4095,2541,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.397 -> 2655,3161,4095,4095,4095,4095,4095,4095,2110,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.397 -> 2303,2193,4095,4095,4095,4095,4095,4095,1472,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.397 -> 2010,2143,3854,4095,4095,4095,4095,4095,1141,4095,3599,4095,4095,4095,2739,4095,0
19:11:16.397 -> 1792,2058,3125,4095,4095,4095,4095,4095,1133,4095,3088,3754,4095,4095,2397,4095,0
19:11:16.397 -> 1721,1941,2655,4095,4095,4095,3600,4095,917,4095,2591,1304,571,4095,0,4095,0
19:11:16.397 -> 345,94,208,2752,409,441,17,2191,148,4095,33,460,498,4095,466,3837,0
19:11:16.397 -> 258,2145,2351,4095,3219,3794,741,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.445 -> 2752,3363,4095,4095,4095,4095,4095,4095,2630,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.445 -> 2683,3281,4095,4095,4095,4095,4095,4095,2544,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.445 -> 2687,3262,4095,4095,4095,4095,4095,4095,2416,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.445 -> 2704,2530,4095,4095,4095,4095,4095,4095,1856,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.445 -> 2227,2177,4095,4095,4095,4095,4095,4095,1395,4095,4095,4095,4095,4095,3107,4095,0
19:11:16.445 -> 1827,2085,3536,4095,4095,4095,4095,4095,1102,4095,3649,4095,4095,4095,2618,4095,0
19:11:16.493 -> 1750,2021,3162,4095,4095,4095,4095,4095,1029,4095,2833,3504,4095,4095,2075,4095,0
19:11:16.493 -> 1355,1971,2735,4095,4095,4095,3536,4095,1070,4095,856,716,304,4095,433,4095,0
19:11:16.493 -> 176,183,866,2476,1580,1678,0,1955,0,4095,1159,0,185,4095,423,4095,0
19:11:16.493 -> 569,2090,1199,4095,4095,4095,4095,4095,3247,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.493 -> 2702,3322,4095,4095,4095,4095,4095,4095,2608,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.493 -> 2711,3254,4095,4095,4095,4095,4095,4095,2639,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.493 -> 2664,3207,4095,4095,4095,4095,4095,4095,2178,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.541 -> 2629,2366,4095,4095,4095,4095,4095,4095,1632,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.541 -> 2228,2159,4095,4095,4095,4095,4095,4095,1287,4095,4095,4095,4095,4095,3967,4095,0
19:11:16.541 -> 1825,2062,3280,4095,4095,4095,4095,4095,1056,4095,3138,4095,4095,4095,2519,4095,0
19:11:16.541 -> 1726,2001,2773,4095,4095,4095,4095,4095,973,4095,3068,3552,4095,4095,1859,4095,0
19:11:16.541 -> 1477,1904,2882,4095,4095,4095,3071,4095,31,4095,579,1006,232,4095,451,4042,0
19:11:16.541 -> 393,86,515,2471,1096,769,0,2192,145,4095,966,968,159,4095,535,3859,0
19:11:16.541 -> 554,1871,4095,4095,4095,4095,4095,4095,3504,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.589 -> 2685,3312,4095,4095,4095,4095,4095,4095,2527,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.589 -> 2735,3257,4095,4095,4095,4095,4095,4095,2578,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.589 -> 2671,3218,4095,4095,4095,4095,4095,4095,2225,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.589 -> 2673,2432,4095,4095,4095,4095,4095,4095,1639,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.589 -> 2186,2157,4095,4095,4095,4095,4095,4095,1387,4095,4095,4095,4095,4095,2943,4095,0
19:11:16.589 -> 1785,2043,3328,4095,4095,4095,4095,4095,1054,4095,3234,4095,4095,4095,2528,4095,0
